dp_id,dp_life_id,desc_count
rhc100195,rhc100195,1
rhc100196,rhc100196,1
rhc100197,rhc100197,1
rhc100198,rhc100198,1
rhc100199,rhc100199,3
rhc1002,rhc1002,1
rhc10020,obpdef1-862-18640919,1
rhc100200,rhc100200,5
rhc100201,rhc100201,1
rhc100202,rhc100202,2
rhc100203,rhc100203,1
rhc100204,rhc100204,1
rhc100205,rhc100205,1
rhc100206,rhc100206,1
rhc100207,rhc100207,1
rhc100208,rhc100208,3
rhc100209,rhc100209,2
rhc10021,rhc10021,1
rhc100210,obpdef1-17-19091207,1
rhc100211,rhc100211,1
rhc100212,rhc100212,3
rhc100213,rhc100213,12
rhc100214,obpdef1-820-18920912,3
rhc100215,rhc100215,3
rhc100216,rhc100216,1
rhc100217,rhc100217,1
rhc100218,rhc100218,1
rhc100219,rhc100219,1
rhc10022,rhc10022,1
rhc100220,rhc100220,1
rhc100221,rhc100221,1
rhc100222,rhc100222,1
rhc100223,rhc100223,1
rhc100224,rhc100224,3
rhc100225,rhc100225,1
rhc100226,rhc100226,1
rhc100227,rhc100227,1
rhc100228,rhc100228,1
rhc100229,rhc100229,1
rhc10023,rhc10023,1
rhc100230,rhc100230,1
rhc100231,rhc100231,1
rhc100232,rhc100232,1
rhc100233,rhc100233,1
rhc100234,rhc100234,2
rhc100235,rhc100235,2
rhc100236,rhc100236,1
rhc100237,rhc100237,1
rhc100238,rhc100238,2
rhc100239,rhc100239,1
rhc10024,rhc10024,1
rhc100240,rhc100240,2
rhc100241,rhc100241,1
rhc100242,rhc100242,1
rhc100243,rhc100243,1
rhc100244,obpdef1-44-19031116,1
rhc100245,rhc100245,2
rhc100246,obpdef1-12-19080428,3
rhc100247,obpdef1-5-19041114,1
rhc100248,rhc100248,5
rhc100249,rhc100249,6
rhc10025,rhc10025,1
rhc100250,rhc100250,4
rhc100251,rhc100251,1
rhc100252,rhc100252,1
rhc100253,rhc100253,1
rhc100254,rhc100254,2
rhc100255,rhc100255,2
rhc100256,rhc100256,5
rhc100257,rhc100257,4
rhc100258,rhc100258,7
rhc100259,rhc100259,1
rhc10026,rhc10026,1
rhc100260,rhc100260,3
rhc100261,rhc100261,1
rhc100262,rhc100262,4
rhc100263,rhc100263,9
rhc100264,rhc100264,3
rhc100265,rhc100265,5
rhc100266,rhc100266,1
rhc100267,rhc100267,5
rhc100268,rhc100268,7
rhc100269,rhc100269,2
rhc10027,rhc10027,1
rhc100270,rhc100270,4
rhc100271,rhc100271,1
rhc100272,rhc100272,2
rhc100273,rhc100273,1
rhc100274,rhc100274,9
rhc100275,rhc100275,5
rhc100276,rhc100276,3
rhc100277,rhc100277,3
rhc100278,rhc100278,1
rhc100279,rhc100279,1
rhc10028,rhc10028,1
rhc100280,rhc100280,4
rhc100281,rhc100281,2
rhc100282,rhc100282,1
rhc100283,rhc100283,3
rhc100284,rhc100284,3
rhc100285,rhc100285,1
rhc100286,rhc100286,3
rhc100287,rhc100287,2
rhc100288,rhc100288,4
rhc100289,rhc100289,3
rhc10029,rhc10029,1
rhc100290,rhc100290,1
rhc100291,rhc100291,2
rhc100292,rhc100292,2
rhc100293,rhc100293,1
rhc100294,rhc100294,1
rhc100295,rhc100295,2
rhc100296,rhc100296,1
rhc100297,rhc100297,1
rhc100298,rhc100298,1
rhc100299,rhc100299,1
rhc1003,rhc1003,1
rhc10030,obpdef1-887-18850914,1
rhc100300,rhc100300,1
rhc100301,rhc100301,3
rhc100302,rhc100302,1
rhc100303,rhc100303,1
rhc100304,rhc100304,1
rhc100305,rhc100305,1
rhc100306,rhc100306,1
rhc100307,rhc100307,3
rhc100308,rhc100308,1
rhc100309,rhc100309,3
rhc10031,rhc10031,1
rhc100310,rhc100310,1
rhc100311,rhc100311,1
rhc100312,rhc100312,1
rhc100313,rhc100313,6
rhc100314,rhc100314,1
rhc100315,rhc100315,3
rhc100316,obpdef1-61-19090112,2
rhc100317,rhc100317,3
rhc100318,rhc100318,10
rhc100319,rhc100319,1
rhc10032,rhc10032,1
rhc100320,obpdef1-849-18840915,3
rhc100321,rhc100321,12
rhc100322,rhc100322,3
rhc100323,rhc100323,5
rhc100324,obpdef2-1055-18861025,2
rhc100325,rhc100325,7
rhc100326,rhc100326,5
rhc100327,rhc100327,5
rhc100328,rhc100328,13
rhc100329,rhc100329,3
rhc10033,rhc10033,1
rhc100330,rhc100330,2
rhc100331,rhc100331,1
rhc100332,rhc100332,5
rhc100333,obpdef1-71-18901124,4
rhc100334,rhc100334,1
rhc100335,rhc100335,3
rhc100336,rhc100336,3
rhc100337,rhc100337,2
rhc100338,rhc100338,1
rhc100339,rhc100339,4
rhc10034,rhc10034,1
rhc100340,rhc100340,2
rhc100341,rhc100341,4
rhc100342,rhc100342,4
rhc100343,rhc100343,3
rhc100344,rhc100344,7
rhc100345,rhc100345,4
rhc100346,rhc100346,1
rhc100347,rhc100347,1
rhc100348,rhc100348,3
rhc100349,rhc100349,3
rhc10035,rhc10035,1
rhc100350,rhc100350,3
rhc100351,rhc100351,2
rhc100352,rhc100352,7
rhc100353,rhc100353,1
rhc100354,obpdef1-978-18851019,1
rhc100355,rhc100355,1
rhc100356,rhc100356,1
rhc100357,rhc100357,4
rhc100358,rhc100358,1
rhc100359,rhc100359,1
rhc10036,rhc10036,1
rhc100360,rhc100360,1
rhc100361,rhc100361,1
rhc100362,rhc100362,1
rhc100363,rhc100363,1
rhc100364,rhc100364,1
rhc100365,rhc100365,1
rhc100366,rhc100366,2
rhc100367,rhc100367,2
rhc100368,rhc100368,3
rhc100369,rhc100369,1
rhc10037,rhc10037,1
rhc100370,rhc100370,2
rhc100371,rhc100371,3
rhc100372,rhc100372,2
rhc100373,rhc100373,3
rhc100374,rhc100374,1
rhc100375,rhc100375,2
rhc100376,rhc100376,1
rhc100377,rhc100377,2
rhc100378,rhc100378,2
rhc100379,rhc100379,3
rhc10038,rhc10038,1
rhc100380,rhc100380,2
rhc100381,rhc100381,6
rhc100382,rhc100382,2
rhc100383,rhc100383,2
rhc100384,rhc100384,1
rhc100385,obpdef1-235-18700131,1
rhc100386,rhc100386,4
rhc100387,rhc100387,5
rhc100388,rhc100388,3
rhc100389,rhc100389,6
rhc10039,rhc10039,1
rhc100390,rhc100390,2
rhc100391,rhc100391,2
rhc100392,rhc100392,2
rhc100393,rhc100393,3
rhc100394,rhc100394,6
rhc100395,rhc100395,1
rhc100396,rhc100396,2
rhc100397,rhc100397,3
rhc100398,rhc100398,1
rhc100399,obpdef1-3-19120611,3
rhc1004,rhc1004,1
rhc10040,rhc10040,1
rhc100400,rhc100400,2
rhc100401,rhc100401,1
rhc100402,rhc100402,5
rhc100403,rhc100403,3
rhc100404,obpdef1-472-18580405,1
rhc100405,rhc100405,7
rhc100406,rhc100406,3
rhc100407,rhc100407,6
rhc100408,rhc100408,1
rhc100409,rhc100409,4
rhc10041,rhc10041,1
rhc100410,rhc100410,2
rhc100411,obpdef1-646-18890729,1
rhc100412,rhc100412,5
rhc100413,rhc100413,2
rhc100414,rhc100414,5
rhc100415,rhc100415,4
rhc100416,rhc100416,3
rhc100417,rhc100417,2
rhc100418,rhc100418,7
rhc100419,rhc100419,5
rhc10042,rhc10042,1
rhc100420,rhc100420,4
rhc100421,rhc100421,3
rhc100422,rhc100422,2
rhc100423,rhc100423,3
rhc100424,rhc100424,2
rhc100425,rhc100425,1
rhc100426,rhc100426,1
rhc100427,rhc100427,1
rhc100428,rhc100428,5
rhc100429,rhc100429,5
rhc10043,rhc10043,1
rhc100430,rhc100430,6
rhc100431,rhc100431,2
rhc100432,rhc100432,3
rhc100433,rhc100433,5
rhc100434,rhc100434,3
rhc100435,rhc100435,1
rhc100436,rhc100436,10
rhc100437,rhc100437,3
rhc100438,rhc100438,4
rhc100439,rhc100439,2
rhc10044,obpdef1-914-18931016,2
rhc100440,rhc100440,3
rhc100441,rhc100441,7
rhc100442,rhc100442,2
rhc100443,rhc100443,2
rhc100444,rhc100444,1
rhc100445,rhc100445,7
rhc100446,rhc100446,2
rhc100447,rhc100447,4
rhc100448,rhc100448,2
rhc100449,rhc100449,1
rhc10045,rhc10045,1
rhc100450,rhc100450,1
rhc100451,rhc100451,3
rhc100452,rhc100452,1
rhc100453,rhc100453,1
rhc100454,rhc100454,1
rhc100455,rhc100455,2
rhc100456,rhc100456,1
rhc100457,rhc100457,1
rhc100458,rhc100458,1
rhc100459,rhc100459,2
rhc10046,rhc10046,1
rhc100460,rhc100460,2
rhc100461,rhc100461,1
rhc100462,rhc100462,1
rhc100463,rhc100463,1
rhc100464,rhc100464,2
rhc100465,rhc100465,1
rhc100466,rhc100466,1
rhc100467,rhc100467,1
rhc100468,rhc100468,3
rhc100469,rhc100469,1
rhc10047,rhc10047,1
rhc100470,rhc100470,2
rhc100471,rhc100471,2
rhc100472,rhc100472,4
rhc100473,rhc100473,1
rhc100474,rhc100474,2
rhc100475,obpdef2-48-19081020,1
rhc100476,rhc100476,2
rhc100477,rhc100477,1
rhc100478,rhc100478,1
rhc100479,obpdef1-54-19071021,1
rhc10048,rhc10048,1
rhc100480,rhc100480,3
rhc100481,rhc100481,2
rhc100482,rhc100482,8
rhc100483,rhc100483,6
rhc100484,obpdef1-106-18960113,4
rhc100485,rhc100485,11
rhc100486,rhc100486,4
rhc100487,rhc100487,1
rhc100488,rhc100488,3
rhc100489,rhc100489,1
rhc10049,rhc10049,1
rhc100490,rhc100490,2
rhc100491,rhc100491,3
rhc100492,rhc100492,2
rhc100493,rhc100493,9
rhc100494,rhc100494,9
rhc100495,rhc100495,5
rhc100496,rhc100496,6
rhc100497,rhc100497,1
rhc100498,rhc100498,5
rhc100499,rhc100499,3
rhc1005,rhc1005,1
rhc10050,rhc10050,3
rhc100500,rhc100500,1
rhc100501,rhc100501,5
rhc100502,rhc100502,1
rhc100503,rhc100503,1
rhc100504,rhc100504,3
rhc100505,rhc100505,1
rhc100506,rhc100506,1
rhc100507,rhc100507,1
rhc100508,rhc100508,2
rhc100509,rhc100509,1
rhc10051,rhc10051,1
rhc100510,rhc100510,2
rhc100511,rhc100511,1
rhc100512,rhc100512,7
rhc100513,rhc100513,2
rhc100514,rhc100514,1
rhc100515,rhc100515,3
rhc100516,rhc100516,1
rhc100517,rhc100517,1
rhc100518,rhc100518,2
rhc100519,rhc100519,2
rhc10052,rhc10052,1
rhc100520,rhc100520,2
rhc100521,rhc100521,2
rhc100522,rhc100522,2
rhc100523,rhc100523,2
rhc100524,rhc100524,2
rhc100525,obpdef1-40-19100426,1
rhc100526,rhc100526,5
rhc100527,rhc100527,1
rhc100528,obpdef1-35-19070722,2
rhc100529,rhc100529,2
rhc10053,rhc10053,1
rhc100530,rhc100530,1
rhc100531,rhc100531,1
rhc100532,rhc100532,1
rhc100533,rhc100533,2
rhc100534,rhc100534,1
rhc100535,rhc100535,4
rhc100536,rhc100536,3
rhc100537,rhc100537,2
rhc100538,rhc100538,1
rhc100539,rhc100539,2
rhc10054,rhc10054,1
rhc100540,rhc100540,1
rhc100541,rhc100541,1
rhc100542,obpdef3-140-19060108,3
rhc100543,rhc100543,1
rhc100544,obpdef1-16-19100426,1
rhc100545,rhc100545,1
rhc100546,rhc100546,4
rhc100547,rhc100547,2
rhc100548,rhc100548,3
rhc100549,rhc100549,4
rhc10055,rhc10055,1
rhc100550,rhc100550,6
rhc100551,rhc100551,3
rhc100552,rhc100552,2
rhc100553,rhc100553,6
rhc100554,rhc100554,1
rhc100555,rhc100555,4
rhc100556,rhc100556,1
rhc100557,rhc100557,3
rhc100558,rhc100558,1
rhc100559,rhc100559,2
rhc10056,rhc10056,1
rhc100560,rhc100560,8
rhc100561,rhc100561,3
rhc100562,rhc100562,2
rhc100563,rhc100563,3
rhc100564,rhc100564,1
rhc100565,rhc100565,3
rhc100566,rhc100566,1
rhc100567,rhc100567,2
rhc100568,rhc100568,4
rhc100569,rhc100569,3
rhc10057,rhc10057,1
rhc100570,rhc100570,3
rhc100571,rhc100571,3
rhc100572,rhc100572,5
rhc100573,rhc100573,1
rhc100574,rhc100574,2
rhc100575,rhc100575,1
rhc100576,rhc100576,2
rhc100577,rhc100577,1
rhc100578,rhc100578,4
rhc100579,rhc100579,3
rhc10058,rhc10058,1
rhc100580,rhc100580,4
rhc100581,rhc100581,1
rhc100582,rhc100582,1
rhc100583,rhc100583,2
rhc100584,rhc100584,4
rhc100585,rhc100585,1
rhc100586,rhc100586,2
rhc100587,rhc100587,5
rhc100588,obpdef1-19-19070128,2
rhc100589,obpdef1-528-19030622,1
rhc10059,rhc10059,2
rhc100590,rhc100590,1
rhc100591,rhc100591,1
rhc100592,rhc100592,4
rhc100593,rhc100593,1
rhc100594,rhc100594,3
rhc100595,rhc100595,1
rhc100596,rhc100596,1
rhc100597,rhc100597,2
rhc100598,rhc100598,1
rhc100599,rhc100599,1
rhc1006,rhc1006,1
rhc10060,rhc10060,1
rhc100600,rhc100600,3
rhc100601,obpdef3-7-19070910,2
rhc100602,obpdef1-495-19050529,6
rhc100603,obpdef1-156-18980207,5
rhc100604,rhc100604,4
rhc100605,rhc100605,1
rhc100606,rhc100606,1
rhc100607,rhc100607,1
rhc100608,obpdef2-413-19030427,6
rhc100609,rhc100609,1
rhc10061,rhc10061,1
rhc100610,rhc100610,1
rhc100611,rhc100611,1
rhc100612,rhc100612,5
rhc100613,rhc100613,1
rhc100614,rhc100614,6
rhc100615,rhc100615,1
rhc100616,rhc100616,5
rhc100617,rhc100617,2
rhc100618,rhc100618,4
rhc100619,rhc100619,1
rhc10062,rhc10062,1
rhc100620,rhc100620,6
rhc100621,rhc100621,1
rhc100622,rhc100622,6
rhc100623,rhc100623,1
rhc100624,rhc100624,2
rhc100625,rhc100625,2
rhc100626,rhc100626,2
rhc100627,rhc100627,7
rhc100628,rhc100628,1
rhc100629,rhc100629,1
rhc10063,rhc10063,1
rhc100630,rhc100630,1
rhc100631,rhc100631,1
rhc100632,rhc100632,2
rhc100633,rhc100633,3
rhc100634,rhc100634,5
rhc100635,rhc100635,1
rhc100636,rhc100636,2
rhc100637,rhc100637,1
rhc100638,rhc100638,1
rhc100639,rhc100639,3
rhc10064,rhc10064,1
rhc100640,rhc100640,4
rhc100641,rhc100641,5
rhc100642,rhc100642,2
rhc100643,rhc100643,7
rhc100644,rhc100644,3
rhc100645,rhc100645,4
rhc100646,rhc100646,3
rhc100647,rhc100647,1
rhc100648,rhc100648,1
rhc100649,rhc100649,1
rhc10065,obpdef1-723-18890916,1
rhc100650,rhc100650,1
rhc100651,rhc100651,4
rhc100652,rhc100652,1
rhc100653,rhc100653,1
rhc100654,rhc100654,1
rhc100655,rhc100655,1
rhc100656,rhc100656,1
rhc100657,rhc100657,2
rhc100658,rhc100658,2
rhc100659,rhc100659,1
rhc10066,rhc10066,1
rhc100660,rhc100660,1
rhc100661,rhc100661,6
rhc100662,rhc100662,1
rhc100663,rhc100663,1
rhc100664,rhc100664,5
rhc100665,rhc100665,1
rhc100666,rhc100666,2
rhc100667,rhc100667,4
rhc100668,rhc100668,3
rhc100669,rhc100669,1
rhc10067,rhc10067,3
rhc100670,rhc100670,2
rhc100671,rhc100671,1
rhc100672,rhc100672,1
rhc100673,rhc100673,2
rhc100674,rhc100674,3
rhc100675,rhc100675,3
rhc100676,rhc100676,1
rhc100677,rhc100677,1
rhc100678,rhc100678,1
rhc100679,rhc100679,6
rhc10068,rhc10068,1
rhc100680,rhc100680,2
rhc100681,rhc100681,3
rhc100682,rhc100682,2
rhc100683,obpdef1-111-19100906,2
rhc100684,rhc100684,2
rhc100685,rhc100685,1
rhc100686,rhc100686,2
rhc100687,rhc100687,1
rhc100688,rhc100688,3
rhc100689,rhc100689,2
rhc10069,rhc10069,1
rhc100690,rhc100690,2
rhc100691,rhc100691,2
rhc100692,rhc100692,2
rhc100693,rhc100693,3
rhc100694,rhc100694,1
rhc100695,obpdef1-30-19100906,2
rhc100696,rhc100696,2
rhc100697,rhc100697,1
rhc100698,rhc100698,4
rhc100699,rhc100699,1
rhc1007,rhc1007,1
rhc10070,rhc10070,1
rhc100700,rhc100700,1
rhc100701,rhc100701,2
rhc100702,rhc100702,1
rhc100703,rhc100703,2
rhc100704,obpdef1-433-18820327,4
rhc100705,obpdef1-12-19120130,3
rhc100706,rhc100706,1
rhc100707,rhc100707,1
rhc100708,rhc100708,2
rhc100709,rhc100709,1
rhc10071,obpdef1-567-18810523,1
rhc100710,rhc100710,3
rhc100711,rhc100711,1
rhc100712,obpdef1-85-19101115,1
rhc100713,rhc100713,1
rhc100714,rhc100714,1
rhc100715,obpdef1-208-18640104,1
rhc100716,rhc100716,1
rhc100717,rhc100717,6
rhc100718,rhc100718,2
rhc100719,rhc100719,2
rhc10072,rhc10072,1
rhc100720,rhc100720,5
rhc100721,rhc100721,5
rhc100722,rhc100722,4
rhc100723,rhc100723,7
rhc100724,rhc100724,1
rhc100725,rhc100725,6
rhc100726,rhc100726,5
rhc100727,rhc100727,3
rhc100728,rhc100728,1
rhc100729,rhc100729,4
rhc10073,rhc10073,1
rhc100730,obpdef3-53-19060625,3
rhc100731,rhc100731,1
rhc100732,obpdef1-247-18660129,2
rhc100733,rhc100733,1
rhc100734,rhc100734,1
rhc100735,rhc100735,1
rhc100736,rhc100736,1
rhc100737,rhc100737,2
rhc100738,rhc100738,1
rhc100739,rhc100739,3
rhc10074,obpdef2-248-18640201,1
rhc100740,rhc100740,7
rhc100741,rhc100741,1
rhc100742,rhc100742,2
rhc100743,rhc100743,2
rhc100744,rhc100744,2
rhc100745,rhc100745,7
rhc100746,rhc100746,3
rhc100747,rhc100747,2
rhc100748,rhc100748,4
rhc100749,rhc100749,1
rhc10075,rhc10075,3
rhc100750,rhc100750,4
rhc100751,rhc100751,3
rhc100752,rhc100752,3
rhc100753,rhc100753,6
rhc100754,rhc100754,1
rhc100755,rhc100755,2
rhc100756,rhc100756,1
rhc100757,rhc100757,1
rhc100758,rhc100758,2
rhc100759,rhc100759,1
rhc10076,rhc10076,1
rhc100760,rhc100760,1
rhc100761,rhc100761,5
rhc100762,rhc100762,1
rhc100763,rhc100763,8
rhc100764,rhc100764,2
rhc100765,rhc100765,4
rhc100766,rhc100766,3
rhc100767,obpdef1-341-19000521,5
rhc100768,rhc100768,3
rhc100769,rhc100769,3
rhc10077,rhc10077,1
rhc100770,rhc100770,1
rhc100771,rhc100771,1
rhc100772,rhc100772,8
rhc100773,rhc100773,3
rhc100774,rhc100774,1
rhc100775,rhc100775,6
rhc100776,rhc100776,2
rhc100777,rhc100777,1
rhc100778,rhc100778,1
rhc100779,rhc100779,2
rhc10078,rhc10078,1
rhc100780,obpdef1-52-19100308,1
rhc100781,rhc100781,3
rhc100782,rhc100782,3
rhc100783,rhc100783,8
rhc100784,rhc100784,5
rhc100785,rhc100785,2
rhc100786,rhc100786,8
rhc100787,obpdef1-85-18991211,3
rhc100788,rhc100788,3
rhc100789,rhc100789,4
rhc10079,rhc10079,1
rhc100790,rhc100790,2
rhc100791,rhc100791,2
rhc100792,rhc100792,10
rhc100793,rhc100793,2
rhc100794,rhc100794,1
rhc100795,rhc100795,3
rhc100796,rhc100796,3
rhc100797,rhc100797,1
rhc100798,rhc100798,5
rhc100799,rhc100799,3
rhc1008,rhc1008,1
rhc10080,rhc10080,1
rhc100800,rhc100800,2
rhc100801,rhc100801,2
rhc100802,rhc100802,4
rhc100803,rhc100803,2
rhc100804,rhc100804,5
rhc100805,rhc100805,4
rhc100806,rhc100806,7
rhc100807,rhc100807,5
rhc100808,rhc100808,6
rhc100809,rhc100809,5
rhc10081,rhc10081,2
rhc100810,rhc100810,1
rhc100811,rhc100811,1
rhc100812,rhc100812,1
rhc100813,rhc100813,1
rhc100814,rhc100814,2
rhc100815,rhc100815,1
rhc100816,rhc100816,1
rhc100817,rhc100817,1
rhc100818,rhc100818,1
rhc100819,rhc100819,2
rhc10082,rhc10082,1
rhc100820,rhc100820,1
rhc100821,rhc100821,4
rhc100822,rhc100822,1
rhc100823,rhc100823,1
rhc100824,rhc100824,1
rhc100825,rhc100825,1
rhc100826,rhc100826,2
rhc100827,rhc100827,1
rhc100828,rhc100828,4
rhc100829,obpdef1-82-19060911,3
rhc10083,rhc10083,1
rhc100830,rhc100830,5
rhc100831,rhc100831,2
rhc100832,rhc100832,2
rhc100833,rhc100833,1
rhc100834,rhc100834,1
rhc100835,rhc100835,8
rhc100836,rhc100836,4
rhc100837,rhc100837,4
rhc100838,rhc100838,2
rhc100839,rhc100839,4
rhc10084,rhc10084,1
rhc100840,rhc100840,1
rhc100841,rhc100841,1
rhc100842,rhc100842,8
rhc100843,rhc100843,1
rhc100844,rhc100844,1
rhc100845,rhc100845,1
rhc100846,rhc100846,1
rhc100847,rhc100847,1
rhc100848,rhc100848,1
rhc100849,rhc100849,1
rhc10085,rhc10085,1
rhc100850,rhc100850,4
rhc100851,rhc100851,1
rhc100852,rhc100852,1
rhc100853,rhc100853,1
rhc100854,rhc100854,4
rhc100855,rhc100855,3
rhc100856,rhc100856,1
rhc100857,rhc100857,5
rhc100858,rhc100858,4
rhc100859,obpdef1-26-19111010,4
rhc10086,obpdef1-152-18621215,1
rhc100860,rhc100860,3
rhc100861,rhc100861,1
rhc100862,rhc100862,1
rhc100863,rhc100863,3
rhc100864,rhc100864,1
rhc100865,rhc100865,2
rhc100866,rhc100866,1
rhc100867,rhc100867,3
rhc100868,rhc100868,4
rhc100869,rhc100869,2
rhc10087,rhc10087,2
